歌曲名,专辑名,艺人名,歌曲译名
行かないで,ALL TIME BEST,玉置浩二,
FLY ME TO THE MOON,NEON GENESIS EVANGELION,鷺巣詩郎;Claire,フライ・ミー・トゥ・ザ・ムーン
once upon a time there was you and me~,ツバサ・クロニクル オリジナルサウンドトラック Future Soundscape IV,梶浦由記,
宋家皇朝,1990-2000精选集,喜多郎,
Spirit Of The West Lake,Impressions Of The West Lake,喜多郎,
Blue Dragon(piano&guitarver),「医龍 Team Medical Dragon」オリジナルサウンドトラック,澤野弘之,
風の如く,武士~もののふ,吉田潔;三冢幸彦,Like the Wind
Circles,Page One,Tino Coury,
So Much,So Much,Feki;Alexa,
Once You Meet Her,POTION(2)Relaxin’ with FINAL FANTASY,植松伸夫,
Main Title,「半沢直樹」オリジナル・サウンドトラック,服部隆之,
Boom (Original Mix),Boom,Tiësto;Sevenn,
夕隠,森羅万象,千世子,Hurry Sundown
Generate (Original Mix),Generate,Eric Prydz,
The Sore Feet Song（フルサイズ）,The Sore Feet Song,Ally Kerr,
Together For Tomorrow,Beyond The Clouds,Kondor,
On My Own,Keep in Mind,Kyle Lionhart,
Hable con Ella,Talk to Her,Vicente Amigo,
Waltz by the River,Dust of Time,Eleni Karaindrou,
Aria From The Goldberg Variations,The English Patient (Original Soundtrack Recording),Gabriel Yared,
The Hours,The Hours (Music from the Motion Picture),Philip Glass,
別離,大奥オリジナル・サウンドトラック,石田勝範,
Attacker,Attacker,PILLARS,
Cha Cha,#1Epic EP,DRAM,
She's Mine pt. 1,4 Your Eyez Only,J. Cole,
Shape Of You (MAKJ Remix),Shape Of You (MAKJ Remix),MAKJ;Ed Sheeran,
Natalie,Break up Jams,Milk & Bone,
Kathy Lee,Pull My Hair Back,Jessy Lanza,
One Day You Will Be Free,One Day You Will Be Free,Endless Melancholy;BILYK,
China wave,The Time We'R,大囍记,中国波
All I Want,All I Want,Stonefox,
"Middle Of Things, Beautiful Wife (Stwo Remix)","Middle Of Things, Beautiful Wife (Stwo Remix)",Stwo;Sango;Xavier Omär,
繁华背后( FEAT.FAYYA & ERLAN),,白天不亮;肥宝,
Soldier,Soldier,Fleurie,
Stay,Stay,Zedd;Alessia Cara,
Homegrown,Homegrown,Haux,
Sparks,Silence,Tom Adams,
All Inside,All Inside,Bondax,
水の巫女エリア,Final Fantasy 1987 - 1994,植松伸夫,
桜,空～心を青く染めるとき～,贾鹏新;贾鹏芳,
你太猖狂,To Hebe,田馥甄,Missing You
magnet,V.I.P(Marasy plays Vocaloid Instrumental on Piano),まらしぃ,
ひたむきな想い,源氏物語千年紀  Genji (Original Soundtrack),S.E.N.S.,
Menina,Menina,Chimp Beams,
reflection eternal,Modal Soul,Nujabes,
Just In Love,Change ,VOLTA MASTERS;高明,
Ooo la la,Soulbirds feat.Nieve & Jean,Cradle;Nieve;Jean,
Valder Fields,Signs I Can't Read - Live At Sonorium,Tamas Wells,
Caffeine,Argonaut,Thomston,
Me and My Guitar,Ultra Chilled 2016,Tep No,
Closer,FIFA 08,Travis,
One Last Night,Caught in Still Life,Vaults,
The Post Modern Life,Asian X.T.C.,久石譲,
Kioku,砂の音,Motohiro Nakashima,
Girls Like,Girls Like,Tinie Tempah;Zara Larsson,
Prisoner,Beauty Behind the Madness,The Weeknd;Lana Del Rey,
独善其身,日常,田馥甄,Love Yourself
花札一手・からす,東京鬼祓師 鴉乃杜學園奇譚　樂想,日本ACG,
Saturn,Atlas: Space II,Sleeping at Last,
I Miss You (Remix),And The Spring Is Gone:Gavintoo's Remix Selections,白天不亮;akiko,
時代を越える想い1,犬夜叉 音楽撰集 映画篇,和田薫,穿越时空的思念1
Over the Rainbow,Somewhere over the Rainbow,Chet Baker,
Spooky,Lock Stock And Two Smoking Barrels,Dusty Springfield,
Loving You,Best Audiophile Voices V,Various Artists,
This Is Not a Love Song,Nouvelle Vague,Nouvelle Vague,
RAIN,RAIN,SEKAI NO OWARI,
Be Your Girl (Cavalier Remix),Be Your Girl (Cavalier Remix),Teedra Moses;Cavalier,
Moving Faster,Moving Faster,Tom Misch,
Cold Nites,Total Loss,How to Dress Well,
Bring You Back,The Way We Separate,Beacon,
Opus #12,Piano Solos ,Dustin O'Halloran,
Us,Us,Movement,
Gooey,ZABA,Glass Animals,
回忆,绝世名伶,范晓萱,
Dmitri Shostakovich: Suite for Jazz Orchestra No.2 - 7. Waltz No.2,"Shostakovich Edition: Symphonies, Concertos, Suites, String Quartets, Chamber Music",Theodore Kuchar,
DDU-DU DDU-DU,SQUARE UP,BLACKPINK,
The Night Is Still Young,The Pinkprint,Nicki Minaj,
Bed of Lies,The Pinkprint,Nicki Minaj;Skylar Grey,
"Antonio Vivaldi: Concerto for Violin and Strings in G minor, Op.8, No.2, R.315 ""L'estate"" - I. Alleg",Ultimate Baroque: The Essential Masterpieces,Mariana Sirbu;野入志津子;Francesco Buccarella;I Musici,"2, R.315 - I 快板 - 不是很快的快板 / 维瓦尔第：G小调第二号小提琴协奏曲“夏”, Op.8"
If Ever I Would Leave You,Getz for Lovers,Stan Getz,
Manha de carnaval,The Hi-Fi Sound of Latin Guitar III,Antonio Carlos Jobim,
Que sera sera,Early Best,Clémentine,
只要为你活一天,功夫 电影原声带,黄英华,
Sican,Asian Blue,S.E.N.S.,
Urban Forest,Urban Forest By Eco Bridge,Eco Bridge,
陪伴,蝶舞,黄雅诗,Companion
Forests,Relax...vol 2 - An Introduction to Fonix Musik,Various Artists,
Ocean Will Be,Oceans (Bande originale du film),Bruno Coulais,
"Concerto for Cello and Orchestra in E minor, Op. 85 - I. Adagio. Moderato (excerpt) (Instrumental)",Hilary And Jackie (Music from the Motion Picture),Daniel Barenboim;Jacqueline du Pré,
牡丹江,2号餐,南拳妈妈,
Todaiji ,Taming The Dragon,Ron Korb,
Stabat Mater,Stabat Mater,Stabat Mater,
Tu Ne Mentiras Pas Part 7  ,Kieslowski,Zbigniew Preisner,
GREEN SLEEVES,乐之选1竖琴,Various Artists,
ROMANCE D'AMOUR,乐之选7古典吉他,Various Artists,
River Flows In You,First Love (Piano Collection),Yiruma,在你身上流动的河
有无 (片尾曲),大佛普拉斯,林生祥,"To Have, or Not To Have"
碧海潮生曲,桃花岛,西皮士,
无伤曲,鹤形,西皮士,
If You're Over Me,If You're Over Me,Years & Years,
心中的日月,心中的日月,王力宏,
黑天鹅,25岁的晴和雨,曾轶可,
When I Say I Love U,Timeshare,Shy Girls,
Still Not Falling,Timeshare,Shy Girls,
The One,Pllajë,JMSN,
Enjoy the Silence,French Touch,Carla Bruni,
Never Be Like You,Bravo Hits Vol. 93,Flume;Kai,
Starboy,Starboy,The Weeknd;Daft Punk,
候鸟,Forever,S.H.E,
Nobody Cares,Nobody Cares,LÉON,
Expiry Date,Expiry Date,Thomston,
L'amour,Quelqu'un m'a dit,Carla Bruni,Love
Ballet Mécanique - orchestrated by Dai Fujikura (Aichi),The Best of 'Playing the Orchestra 2014',坂本龍一,
Angel Eyes,The Intimate Ella,Ella Fitzgerald,
Historia De Un Amor,The Latin Touch,Laura Fygi,
The Look of Love,The Look of Love,Diana Krall,
Don't Know Why,Come Away With Me,Norah Jones,
Sonatine II～in the beginning～,Sonatine,久石譲,
Three Worlds. Music from Woolf Works: The Waves: Tuesday,Three Worlds: Music from Woolf Works,Robert Ziegler;mari samuelsen;grace davidson;Jörg Rausch;Deutsches Filmorchester Babelsberg,
"Peter Ilyich Tchaikovsky: Les saisons, Op. 37b - 8. August: Harvest",Tchaikovsky: The Seasons,Vladimir Ashkenazy,
Shadow Journal,The Blue Notebooks,Max Richter;John Metcalfe;Louisa Fuller;Philip Sheppard;Tilda Swinton;Chris Worsey;Natalia Bonner,
Clever Hospital (Simple version),TBS系 金曜ドラマ「アリスの棘」オリジナル・サウンドトラック,横山克,
Geimori,UTAU,大貫妙子;坂本龍一,
Tibetan Dance, Ryuichi Sakamoto Tribute,no.9,
El transcurrir de las horas,Nueve días de invierno...,Bosques de mi Mente,
第一次爱的人,爱你,王心凌,First Love
存·不存在,TIARA,袁娅维,Illusion
Happy End (Nagano),The Best of 'Playing the Orchestra 2014',坂本龍一,
2 B Loved,Unbreakable,Janet Jackson,
Le onde,Islands: Essential Einaudi,Ludovico Einaudi,
GDFR,My House,Flo Rida;Sage the Gemini;Lookas,
臭小孩,贼,戴佩妮,Odd Child
浪漫主义,TIARA,袁娅维;Kehlani,
我的快乐大于我的悲哀,贼,戴佩妮,Much to My Happiness
Great Morning,New Age Music 11,Daveed,
未送信の恋,LOVE,平原綾香,
氧气,国语真经典,范晓萱,
只怕不够时间看你白头,About Time,林二汶,
Cobalt Moon,Violin Muse,川井郁子,
Natural Flow,The Healing Circle,Bindu,
BURNITUP!,Unbreakable,Missy Elliott;Janet Jackson,
Open Season (Une Autre Saison),Open Season (Une Autre Saison),Josef Salvat,
This Life,This Life,Josef Salvat,
Here's To Life,After Hours,Glenn Frey,
半生缘 (我们在这里相遇),我们在中场相遇,莫文蔚,Half a Lifelong Romance: Here Is Where We Meet
李香兰,流金岁月(二),西崎崇子,Li Xiang-Lan
By the Sea,Eternity And A Day,Eleni Karaindrou,
The Letterbox,Snow Flower and The Secret Fan (Original Motion Picture Soundtrack),Rachel Portman,信箱
Un Piano Sur la Mer,Les Jours Tranquilles,Andre Gagnon,
Between Worlds,XII,Roger Subirana,
Then You Come Along,说 艾怡良,艾怡良,
如果我是一首歌,如果我是一首歌,岑宁儿,
Nuvole bianche,Una mattina,Ludovico Einaudi,
末路狂花,末路狂花,魏如萱,
Compass,Golden,Lady Antebellum,
Por una Cabeza,Tango Tango,Viveza,
后来的我们,1087,萧亚轩,
U Make Me Wanna,最熟悉的…萧亚轩,萧亚轩,
进行式,最熟悉的…萧亚轩,萧亚轩;胡彦斌,
熄灯,1087,萧亚轩,
I'll Be There,三面夏娃,萧亚轩,
让爱飞起来,萧洒小姐,萧亚轩,
我爱你那么多,明天,萧亚轩,
长话短说,明天,萧亚轩,
狮子座,Forever Road,曾轶可,
星星月亮,星星月亮,曾轶可,
北京到台北,北京到台北,曾轶可,
我是如此爱你 (独唱版),"17,18,19…",侯湘婷,
少女的祈祷,"Play It Loud, Kiss Me Soft",杨千嬅,
暧昧,爱之旅,侯湘婷,Vague
秋天别来,维京人来了 45首历年主打全记录,侯湘婷,
最熟悉的陌生人,萧亚轩 同名专辑,萧亚轩,
Problem,My Everything,Iggy Azalea;Ariana Grande,
Swing Set,Moving Mountains ,Moving Mountains,
Hotline Bling (Andrea Edit),Hotline Bling (Andrea Edit),Charlie Puth;Kehlani,
Sheepskin Tearaway,Grace / Wastelands,Peter Doherty,
Silhouettes Of You,Silhouettes Of You,Isaac Gracie,
Everglow (Live),Live From Spotify London,Coldplay,
桜色,Diary ,竹井詩織里,
Close,The Journey Tapes,Ed Carlsen,
Breakthrough,Breakthrough,Tony Anderson,
李香兰 (Live),The Unheard Of Chyi,齐豫,
无常 (Live),2GETHER 4EVER ENCORE 演唱会影音馆,田馥甄,
Insight XVIII,Insight II,Julien Marchal,
东方舞曲(大提琴),颐和园,Peyman Yazdanian,
The Inland Ice: Part II - The Interior,A Start On Such A Night Is Full Of Promise,The Mountaineering Club Orchestra,
Time for Us,Time for Us,Nicolas Jaar,
比天空还远,比天空还远,曹方,
遇见我,遇见我,曹方,
一个人的精彩,首选萧亚轩·美丽的插曲,萧亚轩,
开始爱,最熟悉的…萧亚轩,萧亚轩,
终身大事 (Live),2GETHER 4EVER ENCORE 演唱会影音馆,田馥甄,
summer vi,melody/summer,The Tumbled Sea,
Goya,Broove,Broove,
O Mio Babbino Caro,Romance of the Violin,Joshua Bell,
"Cello Concerto in E minor, Op. 85: I. Adagio - Moderato",Elgar Cello Concerto (live in Prague),Jacqueline du Pré,
Paul,Masterpiece,Big Thief,
에필로그(Epilogue),"장화, 홍련 O.S.T",李秉佑,
春花秋开,黑色香水,曹方,
在不安的程式里,贼,戴佩妮,In an Unstable Program
爱与奇异果,首张国语创作专辑,王菀之,
All Alright,Með Suð Í Eyrum Við Spilum Endalaust,Sigur Rós,
More Questions Than Answers,What's The Farthest You Can See?,Sky Flying By,
我多么希望与你在一起,春天读诗·第4季,袁泉,袁泉致敬茨维塔耶娃
kokyu,Sonorité,延近輝之,
Perth,The Lighthouse Project,Amiina,
All Souls Night (Live),The Unheard Of Chyi,齐豫,
船歌 (Live),The Unheard Of Chyi,齐豫,
蓝色Monday,卫兰,卫兰;袁娅维,Blue Monday
问情,问情,袁娅维,
阿楚姑娘,阿楚姑娘,袁娅维,
说散就散,说散就散,袁娅维,
Vogue,I'm Breathless (Music From And Inspired By),Madonna,
余波荡漾,日常,田馥甄,When You Are Gone
Popup Cinema,Popup Cinema,Tropics,
不痛 (Live),收•音•,徐佳莹,
The Well-Meaning Professor,An Accidental Memory in the Case of Death,Eluvium,
一人のワルツ,For Your Memories,Acoustic Café,
Children,Cello Blue,David Darling,
欢颜,滚石香港黄金十年 齐豫精选,齐豫,
橄榄树,滚石香港黄金十年 齐豫精选,齐豫,
天下有情人,滚石香港黄金十年 齐豫精选,齐豫;周华健,
最想念你,滚石香港黄金十年 齐豫精选,齐豫,
幸福,滚石香港黄金十年 齐豫精选,齐豫,
Backward Clock,Dreams IV,The Picturesque Episodes,
野子,中国好歌曲第二季十大金曲,苏运莹,
Visitor,Night Song,Ketil Bjørnstad;Svante Henryson,
Love My Way,Forever Now,The Psychedelic Furs,
克卜勒 (2016版),彩虹金刚,孙燕姿,
雷克雅未克,Addendum,麦浚龙;周国贤,
蔷薇,红蔷薇,萧亚轩,
The Night,All in the Value,HONNE,
东京铁塔下GULUGULU (粤),东京铁塔下,有耳非文,
笑忘书 (Live),Close To You 音乐会,泳儿,
笑忘书,笑忘书,张敬轩,
距离,新台湾女人,刘沁,
飞鸟与鱼,骆驼·飞鸟·鱼,齐豫;齐秦,
Cloud Atlas Finale,Cloud Atlas (Original Motion Picture Soundtrack),Tom Tykwer;Johnny Klimek;Reinhold Heil,云图终曲
Shadow (Michel's Runway Edit),Shadow EP,Chromatics,
M19 - 怒り ,「怒り」オリジナル・サウンドトラック,坂本龍一,rage
早班火车 (Live),一个人回家,卢凯彤,
In Memory,Melos,Vassilis Tsabropoulos,
Dirty Paws,My Head Is an Animal,Of Monsters And Men,
Air,Life In An Infinite Loop,Cinématique,
最后 仍在一起,Over the Sea / Under the Water,Cicada,Finally...we're still together.
MotorSport,Best Of 2017 Hip Hop,Migos;Nicki Minaj;Cardi B,
下一次爱情来的时候,双栖动物,蔡健雅,
沉重,沉重,梁晓珺,
O.S. K+Ending,心动 电影原声音乐,黄韵玲,
淹没,"Lust, Caution (Original Motion Picture Soundtrack)",张学友,Yang-Mou
矛盾,渺小,田馥甄,Contradiction
Bodak Yellow,Bodak Yellow,Cardi B,
你是我心中一句惊叹,首选萧亚轩·美丽的插曲,萧亚轩,
我们的寂寞,4U,萧亚轩,
Iron,Iron,Woodkid,
Hope in a Box,Glory,Tomas Barfod,
高層ビル,FOREVER FOREVER,ノーナ・リーヴス,
Green Light,The Great Gatsby (The Orchestral Score),Craig Armstrong;The xx,
Villanelle,Kaleidoscope,Jo Blankenburg,
1000の言葉,PIANO COLLECTION FINAL FANTASY X-2,松枝賀子,
Three Worlds. Music from Woolf Works: Mrs. Dalloway: Meeting Again,Three Worlds: Music from Woolf Works,Max Richter;Louisa Fuller;Natalia Bonner,
Atlantic,Atlas: Oceans,Sleeping at Last,
Leave a Trace,Every Open Eye,CHVRCHES,
那里没有我,X,Hush!,
I'm (Not) Dying,Demo,Oak,
我用所有报答爱,夜宴 电影原声带,张靓颖,
Luk Yu Tea House,Louis Vuitton SoundWalk: Hong Kong,舒淇,陆羽茶室
Dreams Come True,Dreams Come True,S.E.S.,
if,"Thank you, Love",西野カナ,
"Pyotr Ilyich Tchaikovsky: Swan Lake, Op.20, Act 2 - No.10 Scène (Moderato)",Ultimate Tchaikovsky: The Essential Masterpieces,Orchestre Symphonique de Montréal;Charles Dutoit,
Dearest (A Classical ver.),A Classical,浜崎あゆみ,
Mystery of Love,Mystery of Love,Sufjan Stevens,
Havana (Remix),Havana (Remix),Daddy Yankee;Camila Cabello,
Bibo No Aozora/Endless Flight/Babel,Babel (Music from and Inspired By the Motion Picture),Gustavo Santaolalla;坂本龍一;Jaques Morelenbaum;Everton Nelson,
一趟,流行,李宇春,
换装,诗,王诗安,Changing
灵魂伴侣,日常,田馥甄,Soul Mate
春之声圆舞曲,燃琴,黄蒙拉,
Humoresque(Dvorak),Masters of the Violin,Arthur Grumiaux,
Castalia (Niigata),The Best of 'Playing the Orchestra 2014',坂本龍一,
Bibo no Aozora (Aichi),The Best of 'Playing the Orchestra 2014',坂本龍一,
Aqua (Aichi),The Best of 'Playing the Orchestra 2014',坂本龍一,
Somewhere Else,12 Memories,Travis,
自己,Sunny Day 好心情,李玟,
Reflection (Pop Version),Mulan (An Original Walt Disney Records Soundtrack),Christina Aguilera,
Cloud Atlas End Title,Cloud Atlas (Original Motion Picture Soundtrack),Tom Tykwer;Johnny Klimek;Reinhold Heil,
Shape of You,÷,Ed Sheeran,你的样子
初,舌尖上的中国2: 民以食为天 原声音乐大碟,阿鲲,Deep in Their Hearts
Blu (Tokyo),The Best of 'Playing the Orchestra 2014',坂本龍一,
I Dare You,I See You (Deluxe),The xx,敢不敢
达尔文 ,预见爱情,蔡健雅,
Nightsky,Nightsky,Tracey Chattaway,
Merry Christmas Mr. Lawrence (Tokyo),The Best of 'Playing the Orchestra 2014',坂本龍一,
υ,Pavonis - Piano Collection III,α·Pav,
Liebesleid,"Liebesfreud, Liebesleid",Christian Ferras,
"Sonata for Violin and Keyboard in G minor, BWV 1020 : I. Allegro",Bach: Sonatas,Lara St. John;Marie-Pierre Langlamet,
Compass,Kicker,Zella Day,
"Johann Sebastian Bach: Goldberg Variations, BWV 988 - Variation 15 Canone a a quinta in moto contrar",J.S. Bach: Variations Goldberg,朱晓玫,
I Want To Break Free,Symphonic Queen - The Greatest Hits,Royal Philharmonic Orchestra,
将爱 (Live),菲比寻常Live!,王菲,
那件疯狂的小事叫爱情,琥珀 舞台剧音乐原声大碟,袁泉,
Never Enough,The Greatest Showman (Original Motion Picture Soundtrack),Loren Allred,
画意,诗情·画意,王菀之,
Simon,神经志,丁世光,
马斯奈:泰绮丝瞑想曲,梦幻曲(浪漫小提琴曲集),吕思清,
"夜曲,作品9,降E大调,第二号",诗情萧邦,傅聪,
也罢,鱼儿,鲁向卉,
We Are Not What We Say We Are,The Decline & Fall of​.​.​.,Versa,
川,月の石と、地球の水,S.E.N.S.,
Youth,Blue Neighbourhood,Troye Sivan,
Chandelier,1000 Forms of Fear,Sia,水晶吊灯
Babe,North Dorm,Evenings,
Heavenly,Soft,Swallow,
Never,Yugen,Koreless,
23,23,Blonde Redhead,
Relaxin' with Cherry,A Grand Love Story,Kid Loco,
Aquarium,Views/Octopus,Nosaj Thing,
威尼斯迷路,谜,许慧欣,
七月七日晴,万中选一,许慧欣,
This Is Not Enough (Epilogue),Mysterium,Hammock,
The Process,The Process,Lakey Inspired,
Satellites ,MAPS  ,Tunturia,
Dreams and Visions,Seasons,Tony Anderson,
Turning Into Tiny Particles… Floating Through Empty Space,Oblivion Hymns,Hammock,
18,Everybody Sings at17新曲+精选30首,at17,
I am leaving,I am leaving,梁晓珺,
Útmutató újszülötteknek,Hélium,Képzelt Város,
等待戈多,鲤鱼滑梯,鲤鱼滑梯乐队,
The Obeisant Vine (Hammock Remix),Remixed,Helios,
Midnight Swim,Cracks (Original Motion Picture Soundtrack),Javier Navarrete,
August 25th,"35° 12' 37​.​0""N, 106° 26' 58​.​9""W",My Cats A Stargazer,
My Heart Will Go On,My Love: Ultimate Essential Collection,Celine Dion,
花之色,野花,林忆莲,
春光,Ya Tung,张亚东,
Sadness Is Taking Over,Nothing Lasts Forever (And It's Fine),Flora Cash,
Brighid's Blessing,Celtic Fantasy,David Davidson,
给自己的情书,好人歌集,王菲,
Deborah's Theme,Yo-Yo Ma Plays Ennio Morricone,Yo-Yo Ma,
For You,For You (Fifty Shades Freed),Liam Payne;Rita Ora,
红豆,Timeless 可啦思刻,方大同,O.S. 王菲 Faye Wang
Singalongsong (English),橙月,方大同,
Like a Child,Like a Child,Tony Anderson,
Partly Sunny,Partly Sunny,Joey Pecoraro,
in your arms.,in your arms.,saib.,
summer iii,melody/summer,The Tumbled Sea,
与浪之间,次等秘密,Vast & Hazy,Waves
Reflection Of Myself,Oasis & Yiruma,Yiruma,我自己的倒影 / 거울속의 나
On the Nature of Daylight,Arrival (Original Motion Picture Soundtrack),Max Richter,
Feelings,Lust auf Gefühl,Helmut Zacharias,
Meryton Townhall,Pride & Prejudice (Music from the Motion Picture),Dario Marianelli,
Milonga for 3,春光乍泄 电影原声大碟,钟定一,
Timmy's Prayer,Process,Sampha,
Rohan,刺客聂隐娘 电影原声带,Men Ha Tan Bagad,
Colors of Love,Sun,Thomas Bergersen,
Familiar,Familiar,Agnes Obel,
Don't Look Back in Anger,(What's the Story) Morning Glory?,Oasis,
Since u asked,Since u asked,Swim Good,
三人游,橙月,方大同,
Lots of umbrellas falling down,lots of umbrellas falling down (single),Umbrellas Hide Life,
离人,不后悔,张学友,
Somewhere Only We Know,Hopes and Fears,Keane,
寂寞无害,说 艾怡良,艾怡良,
野孩子,千嬅盛放,杨千嬅,
散场的拥抱 ,第一课,倪安东,The Last Embrace
来不及,动静,罗忆诗,
想念自己,WHY NOT,陈嘉桦,Be yourself
Holy,Unmasked,Wolf Colony,
Jeux Interdits : Romance D'amour,Le cinéma de Bach à Wagner vol.2,Soundtrack,
The Last Waltz,Old Boy,Soundtrack,
New Life,Sun,Thomas Bergersen,
Missin' You,Wonderful Days,T-SQUARE,
The Other Side of Paradise,How to Be a Human Being,Glass Animals,
End Credits Suite,Moonlight (Original Motion Picture Soundtrack),Nicholas Britell,
线形关系,不提,邹施如,Relationship
Bushido,Ronin,Peter Roe;Uyanga Bold,
The Forbidden City,Creation of the World,Antti Martikainen,
Crazy in Love (Fifty Shades of Grey Version),Crazy in Love (Fifty Shades of Grey Version),Sofia Karlberg,
Flesh Without Blood,Art Angels,Grimes,
Take what you want,Ambitions (Japanese Version),ONE OK ROCK;5 Seconds of Summer,随便你拿
Don't Hold the Wall,The 20/20 Experience,Justin Timberlake,
Paris in the Rain,Paris in the Rain,Lauv,
Fast Car (Radio Edi),Now That's What I Call Music! 93,Jonas Blue;Markus Schulz,
Light It Up (Remix),Light It Up (Remix),Major Lazer;Fuse ODG;Nyla,
Adventure Of A Lifetime (Live),Live From Spotify London,Coldplay,
夜幕,欲言又止,陈冠茜,
You Spin Me Round (Like a Record),A   Public Affair,Jessica Simpson,
Heartbreak Reputation,Coming of Age,Zimmer;Polina,
今天清晨 (Live),TIMEQUAKE 演唱会现场实录,杨乃文,
失恋俱乐部,失恋俱乐部,任然,Lose Love
In These Arms,Strict Joy,The Swell Season,
It's just Christmas Day,It's just Christmas Day,SARRA,
Little Impulse,The Piano (Bande Originale du Film),Michael Nyman,
A Wild And Distant Shore,The Piano (Bande Originale du Film),Michael Nyman,
Kothbiro,The Constant Gardener,Alberto Iglesias,
Abdication,W.E. (Music from the Motion Picture),Abel Korzeniowski,
Charms,W.E. (Music from the Motion Picture),Abel Korzeniowski,
The End,Trois Couleurs Blanc (Bande Original Du Film),Zbigniew Preisner,
Eternity Theme,Eternity And A Day,Eleni Karaindrou,
Amphetamine,Blkswn,Smino,
Girl From Ipanema,The Very Best of Latin Jazz 2007,Various Artists,
Stranger Under My Skin,Stranger Under My Skin,陈奕迅,
SWTRWTHR,SWTRWTHR,Alex Young,
阳光下的星星,独立日,金海心,
动情祭,动情祭,西楼,Rite Of  Passion
American Boy,Shine,Estelle;Kanye West,
Lie,I don't know why,CNBLUE,
Aqueous Transmission,Morning View,Incubus,
All on Me,Prima Donna,Filippa Giordano,
Mariner's Cross,Ep 1,Gdansk,
从前慢,中国好歌曲第二季十大金曲,刘胡轶,
All I Want for Christmas Is You (Extra Festive),Merry Christmas II You,Mariah Carey,
Love Again,Songs to Make Up To,Ta-ku;JMSN;Sango,
Princess Of China  (Live),Live 2012,Coldplay,
Princess of China,Mylo Xyloto,Rihanna;Coldplay,
Maps,Ⅴ,Maroon 5,
ウヲアイニ.アラベスク,花とアリス,岩井俊二,我爱你 Arabesque
The Quiero Dijiste,花样年华 电影原声大碟,Nat King Cole,
Gotta knock a little harder,COWBOY BEBOP Knockin'on heaven's door O.S.T. FUTURE BLUES,菅野よう子,
Coastal Love,Coastal Love,HONNE,
Don't Cry (Live),Live Era '87-'93,Guns N' Roses,
JULY,JULY,吴亦凡,
Idfc (Tarro Remix),Idfc (Tarro Remix),Tarro;blackbear,
Gold,Gold,Akacia;Cabu,
NASA,NASA,Luminate,
明天,诗,方大同;王蕾;王诗安,Tomorrow
JIN-仁- Main Title,TBS系 日曜劇場「JIN-仁-」オリジナル・サウンドトラック,髙見優,
香草吧噗,南拳妈妈的夏天,南拳妈妈,
Instant Immortal,Laideronnette,Matryoshka,
未闻花名,ACG Fingerstyle,OnceFly,
Secret ba<x>se,The Piano in April,纽约盗图君,
如果·爱,如果·爱 电影原声大碟,张学友,
Fever Dream,Our Endless Numbered Days,Iron & Wine,
Melancholy Dreams,A Week With Elyonbeats,ElyonBeats,
流泪眼望流泪眼 + 劳斯·莱斯 (Live),Joey Yung Concert Number 6,容祖儿,
Toy Boy,Songs For Sorrow,MIKA,
Heaven Please,My Beautiful Sinking Ship,Devics,
Casablanca,Grass Is Singing,Lonely Drifter Karen,
Ventus dea,R'entelica,R'entelica,
旅愁,童謡の風景~みんなで歌おう~,レインブック,
旅愁,HIBARI SINGS FOLK SONGS AROUND THE WORLD,美空ひばり,Dreaming of home and mother
Freaks (Extended Mix),Freaks (Extended Mix),Timmy Trumpet;Savage,
Time,Time,MKJ,
The No. 1 Song In Heaven,Plagiarism,Sparks,
"One more time,One more chance",ジャズで聴く山崎将義作品集,神山純一,
Autumn Breeze,Autumn Breeze,Rachel Lim;JIDA,
Holler,Forever,Spice Girls,
"Quizas, Quizas, Quizas (Bolero Cha)",Chanchullo,Rubén González,
泰安七有月雾（demo）,泰安七有月雾,Deep Mountains,
彩虹山,彩虹山,文雀,
Shooting Stars,Shooting Stars,Bag Raiders,
黑暗之光,黑暗之光,雷光夏,
海上花,脸颊贴紧月球,雷光夏,
Sweet Bird,Hazel,Young Hunting,
My Jinji,Jinji Kikko,落日飞车,我的金桔
K.,K.,Cigarettes After Sex,
Camberwell,About Face,#1 Dads,
guilin,is the way,Miss Woman,
沙滩 / Somewhere Over The Rainbow (Live),Soul Power Live现场原音专辑,陶喆,
沙滩,陶喆,陶喆,Blue Moon
Right Here Waiting,Repeat Offender,Richard Marx,
Cool Kids (KLYMVX Remix),Cool Kids(KLYMVX Remix),KLYMVX;Echosmith,
The Girl Is Mine,Now That's What I Call Fitness,99 Souls;Brandy;Destiny's Child,
Closer,Collage,The Chainsmokers;Halsey,
Visions of Gideon,Call Me By Your Name (Original Motion Picture Soundtrack),Sufjan Stevens,
湿了分寸,查理,谢震廷,
南方蝶道,谢谢你提醒我,甜梅號,southern butterfly path
for everything calm embrace,Grateful Goodbye,吉田靖,
彩虹 (Live),我是歌手第四季 第七期: 补位赛,信,返场
人质 (Live),我是歌手第四季 第二期: 淘汰赛,信,
Lost in Thoughts,A Week With Elyonbeats,ElyonBeats,
Shampoo,Virgin,After School,
陌上花开,陌上花开,谭维维,
We Don't Talk Anymore,天籁,莫文蔚,
刀马旦 (Live),我是歌手第四季 第三期: 踢馆赛,信,
末班车 (Live),我是歌手第四季 第六期: 踢馆赛,信,
人間失格~メインテーマ~,人間失格,中島ノブユキ,
SOLITUDE,12 & 1 SONG,Janis Crunch,
15,Through The Window,sayCet,
